N,snv_offset,delta,lflank,n_loci,frac_T,frac_D
5,4,1,4,5420,0.07767527675276753,0.008302583025830259
5,4,1,5,5420,0.03856088560885609,0.0009225092250922509
5,4,1,6,5420,0.014760147601476014,0.00036900369003690036
5,4,1,7,5420,0.005904059040590406,0.0
5,4,1,8,5420,0.0014760147601476014,0.0
5,4,1,9,5420,0.00018450184501845018,0.0
5,4,2,4,5420,0.07767527675276753,0.008302583025830259
5,4,2,5,5420,0.03856088560885609,0.0009225092250922509
5,4,2,6,5420,0.014760147601476014,0.00036900369003690036
5,4,2,7,5420,0.005904059040590406,0.0
5,4,2,8,5420,0.0014760147601476014,0.0
5,4,2,9,5420,0.00018450184501845018,0.0
5,4,3,4,5420,0.07767527675276753,0.008302583025830259
5,4,3,5,5420,0.03856088560885609,0.0009225092250922509
5,4,3,6,5420,0.014760147601476014,0.00036900369003690036
5,4,3,7,5420,0.005904059040590406,0.0
5,4,3,8,5420,0.0014760147601476014,0.0
5,4,3,9,5420,0.00018450184501845018,0.0
5,4,4,4,5420,0.07767527675276753,0.008302583025830259
5,4,4,5,5420,0.03856088560885609,0.0009225092250922509
5,4,4,6,5420,0.014760147601476014,0.00036900369003690036
5,4,4,7,5420,0.005904059040590406,0.0
5,4,4,8,5420,0.0014760147601476014,0.0
5,4,4,9,5420,0.00018450184501845018,0.0
5,4,5,4,5420,0.07767527675276753,0.008302583025830259
5,4,5,5,5420,0.03856088560885609,0.0009225092250922509
5,4,5,6,5420,0.014760147601476014,0.00036900369003690036
5,4,5,7,5420,0.005904059040590406,0.0
5,4,5,8,5420,0.0014760147601476014,0.0
5,4,5,9,5420,0.00018450184501845018,0.0
5,5,-5,1,5420,0.00018450184501845018,0.0
5,5,-5,5,5420,0.01107011070110701,0.007011070110701107
5,5,-5,6,5420,0.004981549815498155,0.0027675276752767526
5,5,-5,7,5420,0.0016605166051660517,0.0014760147601476014
5,5,-5,8,5420,0.0007380073800738007,0.0007380073800738007
5,5,-5,9,5420,0.00036900369003690036,0.0005535055350553505
5,5,-5,10,5420,0.00018450184501845018,0.00036900369003690036
5,5,-4,5,5420,0.016420664206642066,0.0035055350553505533
5,5,-4,6,5420,0.007380073800738007,0.0016605166051660517
5,5,-4,7,5420,0.002952029520295203,0.0007380073800738007
5,5,-4,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,-4,9,5420,0.0009225092250922509,0.0
5,5,-4,10,5420,0.0005535055350553505,0.0
5,5,-3,5,5420,0.016420664206642066,0.0035055350553505533
5,5,-3,6,5420,0.007380073800738007,0.0016605166051660517
5,5,-3,7,5420,0.002952029520295203,0.0007380073800738007
5,5,-3,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,-3,9,5420,0.0009225092250922509,0.0
5,5,-3,10,5420,0.0005535055350553505,0.0
5,5,-2,5,5420,0.016420664206642066,0.0035055350553505533
5,5,-2,6,5420,0.007380073800738007,0.0016605166051660517
5,5,-2,7,5420,0.002952029520295203,0.0007380073800738007
5,5,-2,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,-2,9,5420,0.0009225092250922509,0.0
5,5,-2,10,5420,0.0005535055350553505,0.0
5,5,-1,5,5420,0.016420664206642066,0.0035055350553505533
5,5,-1,6,5420,0.007380073800738007,0.0016605166051660517
5,5,-1,7,5420,0.002952029520295203,0.0007380073800738007
5,5,-1,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,-1,9,5420,0.0009225092250922509,0.0
5,5,-1,10,5420,0.0005535055350553505,0.0
5,5,0,5,5420,0.016420664206642066,0.0035055350553505533
5,5,0,6,5420,0.007380073800738007,0.0016605166051660517
5,5,0,7,5420,0.002952029520295203,0.0007380073800738007
5,5,0,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,0,9,5420,0.0009225092250922509,0.0
5,5,0,10,5420,0.0005535055350553505,0.0
5,5,1,5,5420,0.016420664206642066,0.0035055350553505533
5,5,1,6,5420,0.007380073800738007,0.0016605166051660517
5,5,1,7,5420,0.002952029520295203,0.0007380073800738007
5,5,1,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,1,9,5420,0.0009225092250922509,0.0
5,5,1,10,5420,0.0005535055350553505,0.0
5,5,2,5,5420,0.016420664206642066,0.0035055350553505533
5,5,2,6,5420,0.007380073800738007,0.0016605166051660517
5,5,2,7,5420,0.002952029520295203,0.0007380073800738007
5,5,2,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,2,9,5420,0.0009225092250922509,0.0
5,5,2,10,5420,0.0005535055350553505,0.0
5,5,3,5,5420,0.016420664206642066,0.0035055350553505533
5,5,3,6,5420,0.007380073800738007,0.0016605166051660517
5,5,3,7,5420,0.002952029520295203,0.0007380073800738007
5,5,3,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,3,9,5420,0.0009225092250922509,0.0
5,5,3,10,5420,0.0005535055350553505,0.0
5,5,4,5,5420,0.016420664206642066,0.0035055350553505533
5,5,4,6,5420,0.007380073800738007,0.0016605166051660517
5,5,4,7,5420,0.002952029520295203,0.0007380073800738007
5,5,4,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,4,9,5420,0.0009225092250922509,0.0
5,5,4,10,5420,0.0005535055350553505,0.0
5,5,5,5,5420,0.016420664206642066,0.0035055350553505533
5,5,5,6,5420,0.007380073800738007,0.0016605166051660517
5,5,5,7,5420,0.002952029520295203,0.0007380073800738007
5,5,5,8,5420,0.0014760147601476014,0.00018450184501845018
5,5,5,9,5420,0.0009225092250922509,0.0
5,5,5,10,5420,0.0005535055350553505,0.0
5,6,-5,1,5420,0.00018450184501845018,0.0
5,6,-5,6,5420,0.002952029520295203,0.004059040590405904
5,6,-5,7,5420,0.001107011070110701,0.0014760147601476014
