pind,arm,delta,correct
417,NW-flex,2,1.0
417,BWA-no-clip,3,1.0
417,BWA-std,3,0.3
417,NW-flex,3,1.0
417,BWA-no-clip,4,0.9
417,BWA-std,4,0.1
417,NW-flex,4,1.0
417,BWA-no-clip,5,1.0
417,BWA-std,5,0.0
417,NW-flex,5,1.0
418,BWA-no-clip,-5,0.6
418,BWA-std,-5,0.1
418,NW-flex,-5,1.0
418,BWA-no-clip,-4,0.8
418,BWA-std,-4,0.2
418,NW-flex,-4,1.0
418,BWA-no-clip,-3,0.8
418,BWA-std,-3,0.4
418,NW-flex,-3,1.0
418,BWA-no-clip,-2,0.9
418,BWA-std,-2,0.6
418,NW-flex,-2,1.0
418,BWA-no-clip,-1,0.9
418,BWA-std,-1,0.7
418,NW-flex,-1,1.0
418,BWA-no-clip,0,1.0
418,BWA-std,0,1.0
418,NW-flex,0,1.0
418,BWA-no-clip,1,1.0
418,BWA-std,1,0.7
418,NW-flex,1,1.0
418,BWA-no-clip,2,1.0
418,BWA-std,2,0.5
418,NW-flex,2,1.0
418,BWA-no-clip,3,1.0
418,BWA-std,3,0.3
418,NW-flex,3,1.0
418,BWA-no-clip,4,1.0
418,BWA-std,4,0.1
418,NW-flex,4,1.0
418,BWA-no-clip,5,1.0
418,BWA-std,5,0.0
418,NW-flex,5,1.0
419,BWA-no-clip,-5,0.6
419,BWA-std,-5,0.1
419,NW-flex,-5,1.0
419,BWA-no-clip,-4,0.7
419,BWA-std,-4,0.2
419,NW-flex,-4,1.0
419,BWA-no-clip,-3,0.7
419,BWA-std,-3,0.4
419,NW-flex,-3,1.0
419,BWA-no-clip,-2,0.8
419,BWA-std,-2,0.5
419,NW-flex,-2,1.0
419,BWA-no-clip,-1,0.8
419,BWA-std,-1,0.7
419,NW-flex,-1,1.0
419,BWA-no-clip,0,1.0
419,BWA-std,0,1.0
419,NW-flex,0,1.0
419,BWA-no-clip,1,0.9
419,BWA-std,1,0.7
419,NW-flex,1,1.0
419,BWA-no-clip,2,0.9
419,BWA-std,2,0.5
419,NW-flex,2,1.0
419,BWA-no-clip,3,0.9
419,BWA-std,3,0.3
419,NW-flex,3,1.0
419,BWA-no-clip,4,0.9
419,BWA-std,4,0.1
419,NW-flex,4,1.0
419,BWA-no-clip,5,0.8
419,BWA-std,5,0.0
419,NW-flex,5,1.0
420,BWA-no-clip,-5,0.6
420,BWA-std,-5,0.1
420,NW-flex,-5,1.0
420,BWA-no-clip,-4,0.7
420,BWA-std,-4,0.2
420,NW-flex,-4,1.0
420,BWA-no-clip,-3,0.7
420,BWA-std,-3,0.4
420,NW-flex,-3,1.0
420,BWA-no-clip,-2,0.9
420,BWA-std,-2,0.6
420,NW-flex,-2,1.0
420,BWA-no-clip,-1,0.9
420,BWA-std,-1,0.7
420,NW-flex,-1,1.0
420,BWA-no-clip,0,1.0
420,BWA-std,0,1.0
420,NW-flex,0,1.0
420,BWA-no-clip,1,1.0
420,BWA-std,1,0.7
420,NW-flex,1,1.0
420,BWA-no-clip,2,1.0
420,BWA-std,2,0.5
420,NW-flex,2,1.0
420,BWA-no-clip,3,1.0
420,BWA-std,3,0.3
420,NW-flex,3,1.0
420,BWA-no-clip,4,1.0
420,BWA-std,4,0.1
420,NW-flex,4,1.0
420,BWA-no-clip,5,1.0
420,BWA-std,5,0.0
420,NW-flex,5,1.0
421,BWA-no-clip,-5,0.3
421,BWA-std,-5,0.1
421,NW-flex,-5,1.0
421,BWA-no-clip,-4,0.7
421,BWA-std,-4,0.2
421,NW-flex,-4,1.0
421,BWA-no-clip,-3,0.8
421,BWA-std,-3,0.4
421,NW-flex,-3,1.0
421,BWA-no-clip,-2,0.9
421,BWA-std,-2,0.6
421,NW-flex,-2,1.0
421,BWA-no-clip,-1,0.9
421,BWA-std,-1,0.7
421,NW-flex,-1,1.0
421,BWA-no-clip,0,1.0
421,BWA-std,0,1.0
421,NW-flex,0,1.0
421,BWA-no-clip,1,1.0
421,BWA-std,1,0.7
421,NW-flex,1,1.0
421,BWA-no-clip,2,1.0
421,BWA-std,2,0.5
421,NW-flex,2,1.0
421,BWA-no-clip,3,1.0
421,BWA-std,3,0.3
421,NW-flex,3,1.0
421,BWA-no-clip,4,1.0
421,BWA-std,4,0.1
421,NW-flex,4,1.0
421,BWA-no-clip,5,0.3
421,BWA-std,5,0.0
421,NW-flex,5,1.0
422,BWA-no-clip,-5,0.5
422,BWA-std,-5,0.1
422,NW-flex,-5,1.0
422,BWA-no-clip,-4,0.8
422,BWA-std,-4,0.2
422,NW-flex,-4,1.0
422,BWA-no-clip,-3,0.8
422,BWA-std,-3,0.4
422,NW-flex,-3,1.0
422,BWA-no-clip,-2,0.9
422,BWA-std,-2,0.6
422,NW-flex,-2,1.0
422,BWA-no-clip,-1,0.9
422,BWA-std,-1,0.7
422,NW-flex,-1,1.0
422,BWA-no-clip,0,1.0
422,BWA-std,0,1.0
422,NW-flex,0,1.0
422,BWA-no-clip,1,1.0
422,BWA-std,1,0.7
422,NW-flex,1,1.0
422,BWA-no-clip,2,1.0
422,BWA-std,2,0.5
422,NW-flex,2,1.0
422,BWA-no-clip,3,1.0
422,BWA-std,3,0.3
422,NW-flex,3,1.0
422,BWA-no-clip,4,1.0
422,BWA-std,4,0.1
422,NW-flex,4,1.0
422,BWA-no-clip,5,1.0
422,BWA-std,5,0.0
422,NW-flex,5,1.0
423,BWA-no-clip,-5,0.5
423,BWA-std,-5,0.1
423,NW-flex,-5,1.0
423,BWA-no-clip,-4,0.6
423,BWA-std,-4,0.2
423,NW-flex,-4,1.0
423,BWA-no-clip,-3,0.6
423,BWA-std,-3,0.4
423,NW-flex,-3,1.0
423,BWA-no-clip,-2,0.8
423,BWA-std,-2,0.5
423,NW-flex,-2,1.0
423,BWA-no-clip,-1,0.8
423,BWA-std,-1,0.7
423,NW-flex,-1,1.0
423,BWA-no-clip,0,1.0
423,BWA-std,0,1.0
423,NW-flex,0,1.0
423,BWA-no-clip,1,1.0
423,BWA-std,1,0.7
423,NW-flex,1,1.0
423,BWA-no-clip,2,1.0
423,BWA-std,2,0.5
423,NW-flex,2,1.0
423,BWA-no-clip,3,1.0
423,BWA-std,3,0.3
423,NW-flex,3,1.0
423,BWA-no-clip,4,1.0
423,BWA-std,4,0.1
423,NW-flex,4,1.0
423,BWA-no-clip,5,1.0
423,BWA-std,5,0.0
423,NW-flex,5,1.0
424,BWA-no-clip,-5,0.4
424,BWA-std,-5,0.1
424,NW-flex,-5,1.0
424,BWA-no-clip,-4,0.5
424,BWA-std,-4,0.2
424,NW-flex,-4,1.0
424,BWA-no-clip,-3,0.5
424,BWA-std,-3,0.4
424,NW-flex,-3,1.0
424,BWA-no-clip,-2,0.6666666666666666
424,BWA-std,-2,0.5
424,NW-flex,-2,1.0
424,BWA-no-clip,-1,0.6
424,BWA-std,-1,0.6
424,NW-flex,-1,1.0
424,BWA-no-clip,0,1.0
424,BWA-std,0,1.0
424,NW-flex,0,1.0
424,BWA-no-clip,1,0.7
424,BWA-std,1,0.7
424,NW-flex,1,1.0
424,BWA-no-clip,2,0.7
424,BWA-std,2,0.5
424,NW-flex,2,1.0
424,BWA-no-clip,3,0.7
424,BWA-std,3,0.3
424,NW-flex,3,1.0
424,BWA-no-clip,4,0.7
424,BWA-std,4,0.1
424,NW-flex,4,1.0
424,BWA-no-clip,5,0.7
424,BWA-std,5,0.0
424,NW-flex,5,1.0
425,BWA-no-clip,-5,0.6
425,BWA-std,-5,0.1
425,NW-flex,-5,1.0
425,BWA-no-clip,-4,0.7
425,BWA-std,-4,0.2
425,NW-flex,-4,1.0
425,BWA-no-clip,-3,0.7
425,BWA-std,-3,0.4
425,NW-flex,-3,1.0
425,BWA-no-clip,-2,0.7333333333333333
425,BWA-std,-2,0.5
425,NW-flex,-2,1.0
425,BWA-no-clip,-1,0.7
425,BWA-std,-1,0.7
425,NW-flex,-1,1.0
425,BWA-no-clip,0,1.0
425,BWA-std,0,1.0
425,NW-flex,0,1.0
425,BWA-no-clip,1,0.8
425,BWA-std,1,0.7
425,NW-flex,1,1.0
425,BWA-no-clip,2,0.8
425,BWA-std,2,0.5
425,NW-flex,2,1.0
425,BWA-no-clip,3,0.8
425,BWA-std,3,0.3
425,NW-flex,3,1.0
425,BWA-no-clip,4,0.8
425,BWA-std,4,0.1
425,NW-flex,4,1.0
425,BWA-no-clip,5,0.8
425,BWA-std,5,0.0
425,NW-flex,5,1.0
426,BWA-no-clip,-5,0.2
426,BWA-std,-5,0.1
426,NW-flex,-5,1.0
426,BWA-no-clip,-4,0.6
426,BWA-std,-4,0.2
426,NW-flex,-4,1.0
426,BWA-no-clip,-3,0.6
426,BWA-std,-3,0.4
426,NW-flex,-3,1.0
426,BWA-no-clip,-2,0.8
426,BWA-std,-2,0.5
426,NW-flex,-2,1.0
426,BWA-no-clip,-1,0.8
426,BWA-std,-1,0.7
426,NW-flex,-1,1.0
426,BWA-no-clip,0,1.0
426,BWA-std,0,1.0
426,NW-flex,0,1.0
426,BWA-no-clip,1,1.0
426,BWA-std,1,0.7
426,NW-flex,1,1.0
426,BWA-no-clip,2,0.8
426,BWA-std,2,0.5
426,NW-flex,2,1.0
426,BWA-no-clip,3,1.0
426,BWA-std,3,0.3
426,NW-flex,3,1.0
426,BWA-no-clip,4,0.7
426,BWA-std,4,0.1
426,NW-flex,4,1.0
426,BWA-no-clip,5,0.9
426,BWA-std,5,0.0
426,NW-flex,5,1.0
427,BWA-no-clip,-5,0.6
427,BWA-std,-5,0.1
427,NW-flex,-5,1.0
427,BWA-no-clip,-4,0.7
427,BWA-std,-4,0.2
427,NW-flex,-4,1.0
427,BWA-no-clip,-3,0.7
427,BWA-std,-3,0.4
