pind1,pind2,arm,bridge_len,correct
814,3966,BWA-std,3,0.9338842975206612
814,3966,NW-flex,3,1.0
814,3966,BWA-no-clip,4,0.768595041322314
814,3966,BWA-std,4,0.8512396694214877
814,3966,NW-flex,4,1.0
814,3966,BWA-no-clip,5,0.9173553719008265
814,3966,BWA-std,5,0.9338842975206612
814,3966,NW-flex,5,1.0
821,6098,BWA-no-clip,1,0.256198347107438
821,6098,BWA-std,1,0.371900826446281
821,6098,NW-flex,1,1.0
821,6098,BWA-no-clip,2,1.0
821,6098,BWA-std,2,1.0
821,6098,NW-flex,2,1.0
821,6098,BWA-no-clip,3,1.0
821,6098,BWA-std,3,1.0
821,6098,NW-flex,3,1.0
821,6098,BWA-no-clip,4,1.0
821,6098,BWA-std,4,1.0
821,6098,NW-flex,4,1.0
821,6098,BWA-no-clip,5,1.0
821,6098,BWA-std,5,1.0
821,6098,NW-flex,5,1.0
865,3215,BWA-no-clip,1,0.21487603305785125
865,3215,BWA-std,1,0.45454545454545453
865,3215,NW-flex,1,1.0
865,3215,BWA-no-clip,2,1.0
865,3215,BWA-std,2,1.0
865,3215,NW-flex,2,1.0
865,3215,BWA-no-clip,3,1.0
865,3215,BWA-std,3,1.0
865,3215,NW-flex,3,1.0
865,3215,BWA-no-clip,4,1.0
865,3215,BWA-std,4,1.0
865,3215,NW-flex,4,1.0
865,3215,BWA-no-clip,5,1.0
865,3215,BWA-std,5,1.0
865,3215,NW-flex,5,1.0
870,4551,BWA-no-clip,1,0.5619834710743802
870,4551,BWA-std,1,0.6363636363636364
870,4551,NW-flex,1,1.0
870,4551,BWA-no-clip,2,1.0
870,4551,BWA-std,2,1.0
870,4551,NW-flex,2,1.0
870,4551,BWA-no-clip,3,0.9173553719008265
870,4551,BWA-std,3,0.9338842975206612
870,4551,NW-flex,3,1.0
870,4551,BWA-no-clip,4,1.0
870,4551,BWA-std,4,1.0
870,4551,NW-flex,4,1.0
870,4551,BWA-no-clip,5,0.9173553719008265
870,4551,BWA-std,5,0.9338842975206612
870,4551,NW-flex,5,1.0
908,3096,BWA-no-clip,1,0.45454545454545453
908,3096,BWA-std,1,0.6198347107438017
908,3096,NW-flex,1,1.0
908,3096,BWA-no-clip,2,1.0
908,3096,BWA-std,2,1.0
908,3096,NW-flex,2,1.0
908,3096,BWA-no-clip,3,0.6776859504132231
908,3096,BWA-std,3,0.7933884297520661
908,3096,NW-flex,3,1.0
908,3096,BWA-no-clip,4,1.0
908,3096,BWA-std,4,1.0
908,3096,NW-flex,4,1.0
908,3096,BWA-no-clip,5,1.0
908,3096,BWA-std,5,1.0
908,3096,NW-flex,5,1.0
914,3600,BWA-no-clip,1,0.3140495867768595
914,3600,BWA-std,1,0.4628099173553719
914,3600,NW-flex,1,1.0
914,3600,BWA-no-clip,2,0.5537190082644629
914,3600,BWA-std,2,0.6528925619834711
914,3600,NW-flex,2,1.0
914,3600,BWA-no-clip,3,0.9504132231404959
914,3600,BWA-std,3,0.9752066115702479
914,3600,NW-flex,3,1.0
914,3600,BWA-no-clip,4,1.0
914,3600,BWA-std,4,1.0
914,3600,NW-flex,4,1.0
914,3600,BWA-no-clip,5,1.0
914,3600,BWA-std,5,1.0
914,3600,NW-flex,5,1.0
917,5113,BWA-no-clip,1,0.23140495867768596
917,5113,BWA-std,1,0.3884297520661157
917,5113,NW-flex,1,1.0
917,5113,BWA-no-clip,2,1.0
917,5113,BWA-std,2,1.0
917,5113,NW-flex,2,1.0
917,5113,BWA-no-clip,3,1.0
917,5113,BWA-std,3,1.0
917,5113,NW-flex,3,1.0
917,5113,BWA-no-clip,4,1.0
917,5113,BWA-std,4,1.0
917,5113,NW-flex,4,1.0
917,5113,BWA-no-clip,5,1.0
917,5113,BWA-std,5,1.0
917,5113,NW-flex,5,1.0
918,6210,BWA-no-clip,1,0.34710743801652894
918,6210,BWA-std,1,0.4628099173553719
918,6210,NW-flex,1,1.0
918,6210,BWA-no-clip,2,0.9256198347107438
918,6210,BWA-std,2,0.9504132231404959
918,6210,NW-flex,2,1.0
918,6210,BWA-no-clip,3,0.6363636363636364
918,6210,BWA-std,3,0.768595041322314
918,6210,NW-flex,3,1.0
918,6210,BWA-no-clip,4,1.0
918,6210,BWA-std,4,1.0
918,6210,NW-flex,4,1.0
918,6210,BWA-no-clip,5,1.0
918,6210,BWA-std,5,1.0
918,6210,NW-flex,5,1.0
922,2741,BWA-no-clip,1,0.5785123966942148
922,2741,BWA-std,1,0.6528925619834711
922,2741,NW-flex,1,1.0
922,2741,BWA-no-clip,2,1.0
922,2741,BWA-std,2,1.0
922,2741,NW-flex,2,1.0
922,2741,BWA-no-clip,3,1.0
922,2741,BWA-std,3,1.0
922,2741,NW-flex,3,1.0
922,2741,BWA-no-clip,4,1.0
922,2741,BWA-std,4,1.0
922,2741,NW-flex,4,1.0
922,2741,BWA-no-clip,5,1.0
922,2741,BWA-std,5,1.0
922,2741,NW-flex,5,1.0
948,4563,BWA-no-clip,1,0.3305785123966942
948,4563,BWA-std,1,0.5041322314049587
948,4563,NW-flex,1,1.0
948,4563,BWA-no-clip,2,1.0
948,4563,BWA-std,2,1.0
948,4563,NW-flex,2,1.0
948,4563,BWA-no-clip,3,1.0
948,4563,BWA-std,3,1.0
948,4563,NW-flex,3,1.0
948,4563,BWA-no-clip,4,1.0
948,4563,BWA-std,4,1.0
