N,snv_offset,motif_len,arm,delta,lflank,n_loci,frac_P,frac_T,frac_M,frac_D,frac_score_eq_truth,frac_P_fwd,frac_T_fwd,frac_M_fwd,frac_D_fwd,frac_score_eq_truth_fwd,frac_P_rc,frac_T_rc,frac_M_rc,frac_D_rc,frac_score_eq_truth_rc
5,-1,1,BWA-no-clip,5,8,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,5,9,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,5,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-std,-5,1,399.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-1,1,BWA-std,-5,2,399.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,-1,1,BWA-std,-5,3,399.0,0.0,0.0,0.8671679197994987,0.13283208020050125,0.0,0.0,0.0,0.8671679197994987,0.13283208020050125,0.0,0.0,0.0,0.8671679197994987,0.13283208020050125,0.0
5,-1,1,BWA-std,-5,4,399.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,-1,1,BWA-std,-5,5,399.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,-1,1,BWA-std,-5,6,399.0,0.0,0.0,0.974937343358396,0.02506265664160401,0.0,0.0,0.0,0.974937343358396,0.02506265664160401,0.0,0.0,0.0,0.974937343358396,0.02506265664160401,0.0
5,-1,1,BWA-std,-5,7,399.0,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792,0.005012531328320802,0.0,0.9899749373433584,0.005012531328320802,0.005012531328320802,0.9949874686716792,0.0,0.0,0.005012531328320802,0.9949874686716792
